,Ortsname,Art,Tiere 2017,Einwohner 2017,Anteil 2017
12579,Doppleschwand,Schweine,1353,767,0.57
12784,Gibloux,Schweine,1352,7236,5.35
12886,Biberist,Schweine,1352,8370,6.19
13800,Villarzel,Schweine,1345,423,0.31
12424,Buchholterberg,Schweine,1336,1544,1.16
12446,Forst-Längenbühl,Schweine,1334,781,0.59
12068,Schönenberg (ZH),Schweine,1333,1849,1.39
12247,Auswil,Schweine,1329,450,0.34
12262,Rütschelen,Schweine,1323,568,0.43
12934,Walterswil (SO),Schweine,1315,696,0.53
13061,Beringen,Schweine,1313,4656,3.55
12310,Rumendingen,Schweine,1309,81,0.06
12324,Signau,Schweine,1302,2737,2.1
12075,Hombrechtikon,Schweine,1292,8620,6.67
13121,Gaiserwald,Schweine,1286,8437,6.56
14349,Clos du Doubs,Schweine,1286,1321,1.03
13532,Lengnau (AG),Schweine,1280,2680,2.09
13050,Gächlingen,Schweine,1275,828,0.65
13433,Kaisten,Schweine,1271,2582,2.03
13442,Wölflinswil,Schweine,1269,1027,0.81
12828,Semsales,Schweine,1262,1435,1.14
12972,Therwil,Schweine,1258,10008,7.96
12261,Rohrbachgraben,Schweine,1254,397,0.32
13185,Lütisburg,Schweine,1240,1541,1.24
12052,Fischenthal,Schweine,1238,2480,2.0
13097,Grub (AR),Schweine,1237,1040,0.84
12355,Moosseedorf,Schweine,1211,3975,3.28
12350,Diemerswil,Schweine,1208,199,0.16
13600,Braunau,Schweine,1206,763,0.63
13582,Altnau,Schweine,1196,2161,1.81
12411,Rümligen,Schweine,1191,434,0.36
12684,Unterägeri,Schweine,1189,8576,7.21
13558,Basadingen-Schlattingen,Schweine,1185,1815,1.53
12516,Udligenswil,Schweine,1180,2285,1.94
13084,Hundwil,Schweine,1169,956,0.82
12702,Vallon,Schweine,1165,412,0.35
13131,Tübach,Schweine,1164,1418,1.22
12867,Metzerlen-Mariastein,Schweine,1162,934,0.8
12722,Ursy,Schweine,1151,3030,2.63
13413,Gontenschwil,Schweine,1149,2111,1.84
12802,Mont-Vully,Schweine,1148,3556,3.1
13598,Bettwiesen,Schweine,1143,1177,1.03
12399,Belp,Schweine,1142,11534,10.1
12087,Lindau,Schweine,1132,5489,4.85
13627,Weinfelden,Schweine,1128,11288,10.01
13683,Bioggio,Schweine,1126,2648,2.35
11974,Rifferswil,Schweine,1125,1078,0.96
12368,Kiesen,Schweine,1120,937,0.84
13606,Sirnach,Schweine,1114,7738,6.95
13167,Kaltbrunn,Schweine,1112,4791,4.31
13565,Matzingen,Schweine,1112,2692,2.42
13112,Oberegg,Schweine,1099,1906,1.73
12410,Rüeggisberg,Schweine,1089,1819,1.67
13368,Hägglingen,Schweine,1082,2448,2.26
12502,Adligenswil,Schweine,1071,5352,5.0
12751,Vuadens,Schweine,1056,2296,2.17
12218,Leuzigen,Schweine,1056,1250,1.18
12662,Ennetbürgen,Schweine,1054,4567,4.33
12876,Niedergösgen,Schweine,1046,3831,3.66
12830,La Verrerie,Schweine,1043,1158,1.11
12271,Attiswil,Schweine,1040,1428,1.37
13774,Vully-les-Lacs,Schweine,1039,2943,2.83
12248,Bannwil,Schweine,1039,690,0.66
12706,Estavayer,Schweine,1020,9434,9.25
12207,Kappelen,Schweine,1017,1475,1.45
12441,Uebeschi,Schweine,1015,667,0.66
14231,Les Ponts-de-Martel,Schweine,1011,1294,1.28
12819,Ueberstorf,Schweine,1005,2343,2.33
13563,Gachnang,Schweine,1001,4225,4.22
13857,Tévenon,Schweine,1000,790,0.79
12092,Wildberg,Schweine,998,985,0.99
