,Ortsname,Art,Tiere 2017,Einwohner 2017,Anteil 2017
11737,Leytron,Ziegen,70,3135,44.79
10834,Untervaz,Ziegen,69,2491,36.1
11124,Uerkheim,Ziegen,69,1359,19.7
11734,Charrat,Ziegen,68,1734,25.5
10770,Vilters-Wangs,Ziegen,68,4738,69.68
11409,Valbroye,Ziegen,68,2962,43.56
10238,Wangen (SZ),Ziegen,68,4989,73.37
10862,Cama,Ziegen,67,572,8.54
10248,Riemenstalden,Ziegen,67,88,1.31
10054,Forst-Längenbühl,Ziegen,67,781,11.66
10208,Isenthal,Ziegen,66,503,7.62
10156,Ruswil,Ziegen,66,6908,104.67
11767,Unterbäch,Ziegen,66,412,6.24
10430,Attalens,Ziegen,66,3353,50.8
10119,Malters,Ziegen,66,7108,107.7
9685,Männedorf,Ziegen,66,10830,164.09
9994,Ferenbalm,Ziegen,65,1262,19.42
11708,Fieschertal,Ziegen,65,321,4.94
10847,Samedan,Ziegen,65,2980,45.85
10877,Furna,Ziegen,65,215,3.31
10057,Lenk,Ziegen,65,2358,36.28
10065,Aeschi bei Spiez,Ziegen,64,2232,34.88
11369,Leysin,Ziegen,64,4172,65.19
11799,Sion,Ziegen,64,34353,536.77
11321,Ponte Capriasca,Ziegen,64,1884,29.44
10860,Mesocco,Ziegen,63,1354,21.49
9978,Landiswil,Ziegen,63,624,9.9
11313,Miglieglia,Ziegen,63,308,4.89
11747,Monthey,Ziegen,63,17573,278.94
11668,Château-d'Oex,Ziegen,63,3474,55.14
10349,Jaun,Ziegen,63,671,10.65
10915,Hinterrhein,Ziegen,63,68,1.08
11815,Täsch,Ziegen,63,1237,19.63
10076,Wimmis,Ziegen,63,2463,39.1
10262,Sachseln,Ziegen,62,5060,81.61
9972,Freimettigen,Ziegen,62,484,7.81
10422,St. Silvester,Ziegen,62,986,15.9
9702,Bauma,Ziegen,62,4909,79.18
11268,Lavertezzo,Ziegen,62,1318,21.26
9696,Pfäffikon,Ziegen,62,11774,189.9
11145,Rümikon,Ziegen,61,309,5.07
